School_ID,Name_of_School,"Elementary,_Middle,_or_High_School",Safety_Score,Average_Student_Attendance,ISAT_Exceeding_Reading_Percent,Community_Area_Name,Community_Area_Number,Latitude,Longitude,Ward,Crime_Count
609987,Thomas A Hendricks Elementary Community Academy,ES,33.0,91.2%,1.0,FULLER PARK,37,41.81579314,-87.63370133,3,9302
610061,William J & Charles H Mayo Elementary School,ES,52.0,95.3%,6.0,DOUGLAS,35,41.82732778,-87.61978251,3,9302
610336,Williams Preparatory Academy Middle School,MS,49.0,93.3%,15.5,DOUGLAS,35,41.84403809,-87.62859008,3,9302
610171,Arnold Mireles Elementary Academy,ES,27.0,92.8%,5.4,SOUTH CHICAGO,46,41.73168217,-87.55282373,10,6557
610198,Douglas Taylor Elementary School,ES,34.0,95.1%,9.9,EAST SIDE,52,41.71544589,-87.5330074,10,6557
610219,George Washington Elementary School,ES,58.0,95.5%,24.7,EAST SIDE,52,41.68810403,-87.53600985,10,6557
609856,Henry Clay Elementary School,ES,38.0,95.2%,12.3,HEGEWISCH,55,41.65455937,-87.544577,10,6557
610200,James N Thorp Elementary School,ES,32.0,91.8%,3.6,SOUTH CHICAGO,46,41.73331035,-87.54451462,10,6557
609772,Jane Addams Elementary School,ES,56.0,96.0%,15.9,EAST SIDE,52,41.69871497,-87.53301251,10,6557
610054,John L Marsh Elementary School,ES,72.0,95.7%,14.5,SOUTH DEERING,51,41.71657908,-87.55251993,10,6557
609935,Matthew Gallistel Elementary Language Academy,ES,49.0,95.1%,12.9,EAST SIDE,52,41.70682232,-87.53513861,10,6557
609961,Ninos Heroes Elementary Academic Center,ES,36.0,93.9%,9.4,SOUTH CHICAGO,46,41.74374969,-87.55189813,10,6557
609811,Orville T Bright Elementary School,ES,18.0,92.2%,5.9,SOUTH DEERING,51,41.69973969,-87.56212104,10,6557
609944,Virgil Grissom Elementary School,ES,62.0,95.5%,17.7,HEGEWISCH,55,41.66245712,-87.55334334,10,6557
610193,William K New Sullivan Elementary School,ES,27.0,90.3%,5.8,SOUTH CHICAGO,46,41.7438302,-87.542891,10,6557
609887,Arthur Dixon Elementary School,ES,47.0,94.8%,15.7,CHATHAM,44,41.74365776,-87.61001515,6,11573
610265,Benjamin Banneker Elementary School,ES,36.0,91.3%,1.5,ENGLEWOOD,68,41.77275433,-87.63729464,6,11573
609827,Burnside Elementary Scholastic Academy,ES,51.0,94.9%,14.3,CHATHAM,44,41.72850759,-87.60747108,6,11573
609883,Charles S Deneen Elementary School,ES,55.0,93.8%,6.8,GREATER GRAND CROSSING,69,41.76250359,-87.62338156,6,11573
610233,Elihu Yale Elementary School,ES,29.0,89.7%,3.2,GREATER GRAND CROSSING,69,41.76644232,-87.63209571,6,11573
610112,Francis W Parker Elementary Community Academy,ES,30.0,91.9%,6.5,ENGLEWOOD,68,41.77079606,-87.6353099,6,11573
609939,Frank L Gillespie Elementary School,ES,27.0,91.9%,5.6,ROSELAND,49,41.72529635,-87.62368165,6,11573
610279,Henry O Tanner Elementary School,ES,33.0,91.8%,4.6,GREATER GRAND CROSSING,69,41.76069854,-87.60682834,6,11573
610066,James E McDade Elementary Classical School,ES,99.0,96.2%,74.1,CHATHAM,44,41.73451387,-87.61917677,6,11573
610093,Jane A Neil Elementary School,ES,42.0,88.9%,7.1,CHATHAM,44,41.7384386,-87.62089767,6,11573
610130,John T Pirie Fine Arts & Academic Center Elementary School,ES,26.0,93.5%,20.9,CHATHAM,44,41.74036711,-87.60792289,6,11573
610152,Martha Ruggles Elementary School,ES,43.0,93.9%,5.5,GREATER GRAND CROSSING,69,41.75194729,-87.61802983,6,11573
610115,Park Manor Elementary School,ES,28.0,94.9%,5.7,GREATER GRAND CROSSING,69,41.76648584,-87.61150917,6,11573
610299,William A Hinton Elementary School,ES,18.0,91.7%,3.8,ENGLEWOOD,68,41.76536255,-87.6413274,6,11573
